"col1","col2","estimate","real_var1","real_var2"
"android_bone_mass_f23244_2_0","android_bone_mass_f23244_2_0",1,"Android bone mass","Android bone mass"
"android_fat_mass_f23245_2_0","android_bone_mass_f23244_2_0",0.300669258114083,"Android fat mass","Android bone mass"
"android_lean_mass_f23246_2_0","android_bone_mass_f23244_2_0",0.634454236364036,"Android lean mass","Android bone mass"
"android_tissue_fat_percentage_f23247_2_0","android_bone_mass_f23244_2_0",-0.00961328292548023,"Android tissue fat percentage","Android bone mass"
"android_total_mass_f23248_2_0","android_bone_mass_f23244_2_0",0.477597464053335,"Android total mass","Android bone mass"
"arm_fat_mass_left_f23249_2_0","android_bone_mass_f23244_2_0",0.00398411743333032,"Arm fat mass left","Android bone mass"
"arm_fat_mass_right_f23253_2_0","android_bone_mass_f23244_2_0",0.0137694976959658,"Arm fat mass right","Android bone mass"
"arm_lean_mass_left_f23250_2_0","android_bone_mass_f23244_2_0",0.625097906379334,"Arm lean mass left","Android bone mass"
"arm_lean_mass_right_f23254_2_0","android_bone_mass_f23244_2_0",0.627461275429538,"Arm lean mass right","Android bone mass"
"arm_tissue_fat_percentage_left_f23251_2_0","android_bone_mass_f23244_2_0",-0.00954422701625834,"Arm tissue fat percentage left","Android bone mass"
"arm_tissue_fat_percentage_right_f23255_2_0","android_bone_mass_f23244_2_0",-0.00829012803418118,"Arm tissue fat percentage right","Android bone mass"
"arm_total_mass_left_f23252_2_0","android_bone_mass_f23244_2_0",0.450620537364112,"Arm total mass left","Android bone mass"
"arm_total_mass_right_f23256_2_0","android_bone_mass_f23244_2_0",0.458274674650011,"Arm total mass right","Android bone mass"
"arms_fat_mass_f23257_2_0","android_bone_mass_f23244_2_0",0.00830559435172346,"Arms fat mass","Android bone mass"
"arms_lean_mass_f23258_2_0","android_bone_mass_f23244_2_0",0.625258631031155,"Arms lean mass","Android bone mass"
"arms_tissue_fat_percentage_f23259_2_0","android_bone_mass_f23244_2_0",-0.0375694175717465,"Arms tissue fat percentage","Android bone mass"
"arms_total_mass_f23260_2_0","android_bone_mass_f23244_2_0",0.506899289947623,"Arms total mass","Android bone mass"
"gynoid_bone_mass_f23261_2_0","android_bone_mass_f23244_2_0",0.798577819785072,"Gynoid bone mass","Android bone mass"
"gynoid_fat_mass_f23262_2_0","android_bone_mass_f23244_2_0",-0.00301436306201472,"Gynoid fat mass","Android bone mass"
"gynoid_lean_mass_f23263_2_0","android_bone_mass_f23244_2_0",0.668971928249788,"Gynoid lean mass","Android bone mass"
"gynoid_tissue_fat_percentage_f23264_2_0","android_bone_mass_f23244_2_0",-0.031549353973753,"Gynoid tissue fat percentage","Android bone mass"
"gynoid_total_mass_f23265_2_0","android_bone_mass_f23244_2_0",0.44046485733245,"Gynoid total mass","Android bone mass"
"leg_fat_mass_left_f23266_2_0","android_bone_mass_f23244_2_0",-0.116569982004446,"Leg fat mass left","Android bone mass"
"leg_fat_mass_right_f23270_2_0","android_bone_mass_f23244_2_0",-0.110034300150354,"Leg fat mass right","Android bone mass"
"leg_lean_mass_left_f23267_2_0","android_bone_mass_f23244_2_0",0.613037573020168,"Leg lean mass left","Android bone mass"
"leg_lean_mass_right_f23271_2_0","android_bone_mass_f23244_2_0",0.616288813346956,"Leg lean mass right","Android bone mass"
"leg_tissue_fat_percentage_left_f23268_2_0","android_bone_mass_f23244_2_0",-0.00768569118848225,"Leg tissue fat percentage left","Android bone mass"
"leg_tissue_fat_percentage_right_f23272_2_0","android_bone_mass_f23244_2_0",-0.00679254315956567,"Leg tissue fat percentage right","Android bone mass"
"leg_total_mass_left_f23269_2_0","android_bone_mass_f23244_2_0",0.329495161419159,"Leg total mass left","Android bone mass"
"leg_total_mass_right_f23273_2_0","android_bone_mass_f23244_2_0",0.33567392551928,"Leg total mass right","Android bone mass"
"legs_fat_mass_f23274_2_0","android_bone_mass_f23244_2_0",-0.104420834332135,"Legs fat mass","Android bone mass"
"legs_lean_mass_f23275_2_0","android_bone_mass_f23244_2_0",0.611201666033756,"Legs lean mass","Android bone mass"
"legs_tissue_fat_percentage_f23276_2_0","android_bone_mass_f23244_2_0",-0.0365309999491426,"Legs tissue fat percentage","Android bone mass"
"legs_total_mass_f23277_2_0","android_bone_mass_f23244_2_0",0.389403256689977,"Legs total mass","Android bone mass"
"total_fat_free_mass_f23279_2_0","android_bone_mass_f23244_2_0",0.658944334751802,"Total fat free mass","Android bone mass"
"total_fat_mass_f23278_2_0","android_bone_mass_f23244_2_0",0.138529851644538,"Total fat mass","Android bone mass"
"total_lean_mass_f23280_2_0","android_bone_mass_f23244_2_0",0.644611031046882,"Total lean mass","Android bone mass"
"total_mass_f23283_2_0","android_bone_mass_f23244_2_0",0.475541030705884,"Total mass","Android bone mass"
"total_tissue_fat_percentage_f23281_2_0","android_bone_mass_f23244_2_0",-0.0231137602987928,"Total tissue fat percentage","Android bone mass"
"total_tissue_mass_f23282_2_0","android_bone_mass_f23244_2_0",0.508392018202924,"Total tissue mass","Android bone mass"
"trunk_fat_mass_f23284_2_0","android_bone_mass_f23244_2_0",0.253623830815587,"Trunk fat mass","Android bone mass"
"trunk_lean_mass_f23285_2_0","android_bone_mass_f23244_2_0",0.64643853375997,"Trunk lean mass","Android bone mass"
"trunk_tissue_fat_percentage_f23286_2_0","android_bone_mass_f23244_2_0",-0.0140081034485542,"Trunk tissue fat percentage","Android bone mass"
"trunk_total_mass_f23287_2_0","android_bone_mass_f23244_2_0",0.481557404138707,"Trunk total mass","Android bone mass"
"vat_visceral_adipose_tissue_mass_f23288_2_0","android_bone_mass_f23244_2_0",0.405473234436864,"Vat visceral adipose tissue mass","Android bone mass"
"vat_visceral_adipose_tissue_volume_f23289_2_0","android_bone_mass_f23244_2_0",0.405472323052721,"Vat visceral adipose tissue volume","Android bone mass"
"android_bone_mass_f23244_2_0","android_fat_mass_f23245_2_0",0.300669258114083,"Android bone mass","Android fat mass"
"android_fat_mass_f23245_2_0","android_fat_mass_f23245_2_0",1,"Android fat mass","Android fat mass"
"android_lean_mass_f23246_2_0","android_fat_mass_f23245_2_0",0.440395426145958,"Android lean mass","Android fat mass"
"android_tissue_fat_percentage_f23247_2_0","android_fat_mass_f23245_2_0",0.0450729424494645,"Android tissue fat percentage","Android fat mass"
"android_total_mass_f23248_2_0","android_fat_mass_f23245_2_0",0.858056406555285,"Android total mass","Android fat mass"
"arm_fat_mass_left_f23249_2_0","android_fat_mass_f23245_2_0",0.722863985431224,"Arm fat mass left","Android fat mass"
"arm_fat_mass_right_f23253_2_0","android_fat_mass_f23245_2_0",0.732624663124236,"Arm fat mass right","Android fat mass"
