Column Name,adiposity_type,Cofactor,body_part,estimate,stdev,t,p,significant
android_bone_mass_f23244_2_0,Android bone mass,Sex,Abdomen,1.019905239,0.0235053295,43.39038253,0,TRUE
android_fat_mass_f23245_2_0,Android fat mass,Sex,Abdomen,0.2447057211,0.01686441085,14.51018498,8.84E-47,TRUE
android_lean_mass_f23246_2_0,Android lean mass,Sex,Abdomen,1.506401332,0.01532502084,98.29685373,0,TRUE
android_tissue_fat_percentage_f23247_2_0,Android tissue fat percentage,Sex,Abdomen,-0.0530422014,0.01017861028,-5.211143755,1.89E-07,TRUE
android_total_mass_f23248_2_0,Android total mass,Sex,Abdomen,0.8159105122,0.00558915593,145.9809893,0,TRUE
arm_fat_mass_left_f23249_2_0,Arm fat mass left,Sex,Arm,-0.7253276351,0.01932716382,-37.52892259,8.25E-267,TRUE
arm_fat_mass_right_f23253_2_0,Arm fat mass right,Sex,Arm,-0.7028219263,0.01942964039,-36.17266774,2.60E-250,TRUE
arm_lean_mass_left_f23250_2_0,Arm lean mass left,Sex,Arm,1.617741385,0.01455351433,111.1581264,0,TRUE
arm_lean_mass_right_f23254_2_0,Arm lean mass right,Sex,Arm,1.648260156,0.01429367345,115.3139647,0,TRUE
arm_tissue_fat_percentage_left_f23251_2_0,Arm tissue fat percentage left,Sex,Arm,-0.1011811168,0.01685937106,-6.001476356,2.00E-09,TRUE
arm_tissue_fat_percentage_right_f23255_2_0,Arm tissue fat percentage right,Sex,Arm,-0.0992471235,0.01687134627,-5.882584703,4.13E-09,TRUE
arm_total_mass_left_f23252_2_0,Arm total mass left,Sex,Arm,0.9387179384,0.01068366821,87.86475956,0,TRUE
arm_total_mass_right_f23256_2_0,Arm total mass right,Sex,Arm,1.009344359,0.01060936217,95.13713857,0,TRUE
arms_fat_mass_f23257_2_0,Arms fat mass,Sex,Arm,-0.7156832574,0.017314822,-41.33356135,0.00E-02,TRUE
arms_lean_mass_f23258_2_0,Arms lean mass,Sex,Arm,1.644478081,0.01286225909,127.8529743,0,TRUE
arms_tissue_fat_percentage_f23259_2_0,Arms tissue fat percentage,Sex,Arm,-0.1597439648,0.01015304164,-15.73360678,1.31E-55,TRUE
arms_total_mass_f23260_2_0,Arms total mass,Sex,Arm,1.001868831,0.005818296574,172.192809,0,TRUE
