"category","exposure"
"Alcohol","alcohol_intake_frequency_f1558_0_0"
"Alcohol","alcohol_intake_versus_10_years_previously_f1628_0_0"
"Alcohol","alcohol_drinker_status_f20117_0_0_Prefer_not_to_answer"
"Alcohol","alcohol_drinker_status_f20117_0_0_Never"
"Alcohol","alcohol_drinker_status_f20117_0_0_Previous"
"Alcohol","alcohol_drinker_status_f20117_0_0_Current"
"Diet_Weekly","beef_intake_f1369_0_0"
"Diet_Weekly","bread_intake_f1438_0_0"
"Diet_Weekly","cereal_intake_f1458_0_0"
"Diet_Weekly","cheese_intake_f1408_0_0"
"Diet_Weekly","coffee_intake_f1498_0_0"
"Diet_Weekly","cooked_vegetable_intake_f1289_0_0"
"Diet_Weekly","dried_fruit_intake_f1319_0_0"
"Diet_Weekly","fresh_fruit_intake_f1309_0_0"
"Diet_Weekly","hot_drink_temperature_f1518_0_0"
"Diet_Weekly","lamb_mutton_intake_f1379_0_0"
"Diet_Weekly","non_oily_fish_intake_f1339_0_0"
"Diet_Weekly","oily_fish_intake_f1329_0_0"
"Diet_Weekly","pork_intake_f1389_0_0"
"Diet_Weekly","poultry_intake_f1359_0_0"
"Diet_Weekly","processed_meat_intake_f1349_0_0"
"Diet_Weekly","salad_raw_vegetable_intake_f1299_0_0"
"Diet_Weekly","salt_added_to_food_f1478_0_0"
"Diet_Weekly","tea_intake_f1488_0_0"
"Diet_Weekly","variation_in_diet_f1548_0_0"
"Diet_Weekly","water_intake_f1528_0_0"
"Diet_Weekly","bread_type_f1448_0_0_Prefer_not_to_answer"
"Diet_Weekly","bread_type_f1448_0_0_Do_not_know"
"Diet_Weekly","bread_type_f1448_0_0_White"
"Diet_Weekly","bread_type_f1448_0_0_Brown"
"Diet_Weekly","bread_type_f1448_0_0_Wholemeal_or_wholegrain"
"Diet_Weekly","bread_type_f1448_0_0_Other_type_of_bread"
"Diet_Weekly","major_dietary_changes_in_the_last_5_years_f1538_0_0_Prefer_not_to_answer"
"Diet_Weekly","major_dietary_changes_in_the_last_5_years_f1538_0_0_No"
"Diet_Weekly","major_dietary_changes_in_the_last_5_years_f1538_0_0_Yes._because_of_illness"
"Diet_Weekly","major_dietary_changes_in_the_last_5_years_f1538_0_0_Yes._because_of_other_reasons"
"Diet_Weekly","milk_type_used_f1418_0_0_Prefer_not_to_answer"
"Diet_Weekly","milk_type_used_f1418_0_0_Do_not_know"
"Diet_Weekly","milk_type_used_f1418_0_0_Full_cream"
"Diet_Weekly","milk_type_used_f1418_0_0_Semi.skimmed"
"Diet_Weekly","milk_type_used_f1418_0_0_Skimmed"
"Diet_Weekly","milk_type_used_f1418_0_0_Soya"
"Diet_Weekly","milk_type_used_f1418_0_0_Other_type_of_milk"
"Diet_Weekly","milk_type_used_f1418_0_0_Never.rarely_have_milk"
"Diet_Weekly","never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Dairy_products"
"Diet_Weekly","never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Sugar_or_foods.drinks_containing_sugar"
"Diet_Weekly","never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Wheat_products"
"Diet_Weekly","never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Eggs_or_foods_containing_eggs"
"Diet_Weekly","never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_I_eat_all_of_the_above"
"Diet_Weekly","never_eat_eggs_dairy_wheat_sugar_f6144_0_0.multi_Prefer_not_to_answer"
"Diet_Weekly","spread_type_f1428_0_0_Prefer_not_to_answer"
"Diet_Weekly","spread_type_f1428_0_0_Do_not_know"
"Diet_Weekly","spread_type_f1428_0_0_Never.rarely_use_spread"
"Diet_Weekly","spread_type_f1428_0_0_Butter.spreadable_butter"
"Diet_Weekly","spread_type_f1428_0_0_Flora_Pro.Active.Benecol"
"Diet_Weekly","spread_type_f1428_0_0_Other_type_of_spread.margarine"
"Smoking","ever_smoked_f20160_0_0"
"Smoking","exposure_to_tobacco_smoke_at_home_f1269_0_0"
"Smoking","exposure_to_tobacco_smoke_outside_home_f1279_0_0"
"Smoking","past_tobacco_smoking_f1249_0_0"
"Smoking","current_tobacco_smoking_f1239_0_0_Prefer_not_to_answer"
"Smoking","current_tobacco_smoking_f1239_0_0_No"
"Smoking","current_tobacco_smoking_f1239_0_0_Yes._on_most_or_all_days"
"Smoking","current_tobacco_smoking_f1239_0_0_Only_occasionally"
"Smoking","smoking_smokers_in_household_f1259_0_0_Prefer_not_to_answer"
"Smoking","smoking_smokers_in_household_f1259_0_0_No"
"Smoking","smoking_smokers_in_household_f1259_0_0_Yes._one_household_member_smokes"
"Smoking","smoking_smokers_in_household_f1259_0_0_Yes._more_than_one_household_member_smokes"
"Smoking","smoking_status_f20116_0_0_Prefer_not_to_answer"
"Smoking","smoking_status_f20116_0_0_Never"
"Smoking","smoking_status_f20116_0_0_Previous"
"Smoking","smoking_status_f20116_0_0_Current"
"Exercise_MET","at_or_above_moderate_vigorous_recommendation_f22035_0_0"
"Exercise_MET","at_or_above_moderate_vigorous_walking_recommendation_f22036_0_0"
"Exercise_MET","ipaq_activity_group_f22032_0_0"
"Exercise_MET","met_minutes_per_week_for_moderate_activity_f22038_0_0"
"Exercise_MET","met_minutes_per_week_for_vigorous_activity_f22039_0_0"
"Exercise_MET","met_minutes_per_week_for_walking_f22037_0_0"
"Exercise_MET","summed_days_activity_f22033_0_0"
"Exercise_MET","summed_met_minutes_per_week_for_all_activity_f22040_0_0"
"Exercise_MET","summed_minutes_activity_f22034_0_0"
"Exercise_Freq","duration_of_walks_f874_0_0"
"Exercise_Freq","frequency_of_stair_climbing_in_last_4_weeks_f943_0_0"
"Exercise_Freq","number_of_days_week_of_moderate_physical_activity_10_plus_minutes_f884_0_0"
"Exercise_Freq","number_of_days_week_of_vigorous_physical_activity_10_plus_minutes_f904_0_0"
"Exercise_Freq","number_of_days_week_walked_10_plus_minutes_f864_0_0"
"Exercise_Freq","time_spent_driving_f1090_0_0"
"Exercise_Freq","time_spent_using_computer_f1080_0_0"
"Exercise_Freq","time_spent_watching_television_tv_f1070_0_0"
"Exercise_Freq","usual_walking_pace_f924_0_0"
"Exercise_Freq","drive_faster_than_motorway_speed_limit_f1100_0_0_Prefer_not_to_answer"
"Exercise_Freq","drive_faster_than_motorway_speed_limit_f1100_0_0_Do_not_know"
"Exercise_Freq","drive_faster_than_motorway_speed_limit_f1100_0_0_Never.rarely"
"Exercise_Freq","drive_faster_than_motorway_speed_limit_f1100_0_0_Sometimes"
"Exercise_Freq","drive_faster_than_motorway_speed_limit_f1100_0_0_Often"
"Exercise_Freq","drive_faster_than_motorway_speed_limit_f1100_0_0_Most_of_the_time"
"Exercise_Freq","drive_faster_than_motorway_speed_limit_f1100_0_0_Do_not_drive_on_the_motorway"
"Exercise_Freq","types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Heavy_DIY_.eg._weeding._lawn_mowing._carpentry._digging."
"Exercise_Freq","types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Light_DIY_.eg._pruning._watering_the_lawn."
"Exercise_Freq","types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_None_of_the_above"
"Exercise_Freq","types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Other_exercises_.eg._swimming._cycling._keep_fit._bowling."
"Exercise_Freq","types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Strenuous_sports"
"Exercise_Freq","types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Prefer_not_to_answer"
"Exercise_Freq","types_of_physical_activity_in_last_4_weeks_f6164_0_0.multi_Walking_for_pleasure_.not_as_a_means_of_transport."
"Exercise_Freq","types_of_transport_used_excluding_work_f6162_0_0.multi_Car.motor_vehicle"
"Exercise_Freq","types_of_transport_used_excluding_work_f6162_0_0.multi_Cycle"
"Exercise_Freq","types_of_transport_used_excluding_work_f6162_0_0.multi_Public_transport"
"Exercise_Freq","types_of_transport_used_excluding_work_f6162_0_0.multi_Walk"
"Exercise_Freq","types_of_transport_used_excluding_work_f6162_0_0.multi_None_of_the_above"
"Exercise_Freq","types_of_transport_used_excluding_work_f6162_0_0.multi_Prefer_not_to_answer"
"Internet_Usage","length_of_mobile_phone_use_f1110_0_0"
"Internet_Usage","plays_computer_games_f2237_0_0"
"Deprivation_Indices","income_score_england_f26411_0_0"
"Deprivation_Indices","income_score_scotland_f26428_0_0"
"Deprivation_Indices","income_score_wales_f26418_0_0"
"Deprivation_Indices","index_of_multiple_deprivation_england_f26410_0_0"
"Deprivation_Indices","index_of_multiple_deprivation_scotland_f26427_0_0"
"Deprivation_Indices","index_of_multiple_deprivation_wales_f26426_0_0"
"Vitamins","mineral_and_other_dietary_supplements_f6179_0_0.multi_Calcium"
"Vitamins","mineral_and_other_dietary_supplements_f6179_0_0.multi_Iron"
"Vitamins","mineral_and_other_dietary_supplements_f6179_0_0.multi_Selenium"
"Vitamins","mineral_and_other_dietary_supplements_f6179_0_0.multi_Zinc"
"Vitamins","mineral_and_other_dietary_supplements_f6179_0_0.multi_Fish_oil_.including_cod_liver_oil."
"Vitamins","mineral_and_other_dietary_supplements_f6179_0_0.multi_Glucosamine"
"Vitamins","mineral_and_other_dietary_supplements_f6179_0_0.multi_None_of_the_above"
"Vitamins","mineral_and_other_dietary_supplements_f6179_0_0.multi_Prefer_not_to_answer"
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_Folic_acid_or_Folate_.Vit_B9."
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_Multivitamins_..._minerals"
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_None_of_the_above"
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_Prefer_not_to_answer"
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_Vitamin_A"
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_Vitamin_B"
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_Vitamin_C"
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_Vitamin_D"
"Vitamins","vitamin_and_mineral_supplements_f6155_0_0.multi_Vitamin_E"
